가격,차량정보,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,옵션
66900000,28두7593,21년06월(21년형),"44,737km",전기,오토,정보없음,SUV,236cc,흰색,정보없음,없음,없음,사고없음,없음,없음,없음,2회,[]
16900000,53도6332,19년03월(19년형),"112,508km",가솔린,오토,정보없음,중형,"1,998cc",흰색,정보없음,1 건,없음,사고없음,없음,없음,없음,없음,"['제논라이트(HID)', '알루미늄휠', '파노라마썬루프', '열선시트', '통풍시트', '가죽시트', '운전석전동시트', '조수석전동시트', '메모리시트', '하이패스', '열선시트(뒷좌석)', '통풍시트(동승석)', '후방감지센서', '사이드&커튼에어백', '운전석에어백', '조수석에어백', '후방카메라', '어라운드뷰', 'ABS', 'TCS', '차체자세제어장치', '차선이탈경보장치', '타이어 공기압감지', '주차감지센서(전방)', '스마트키', '풀오토에어컨', '전자식파킹브레이크', 'ECM룸밀러', '크루즈컨트롤', '전동트렁크', '핸들열선', '레인센서와이퍼', '내비게이션', 'AUX', 'USB', '핸즈프리', 'iPod 단자']"
21700000,08소2929,18년09월(19년형),"103,185km",가솔린,오토,정보없음,SUV,"1,998cc","파랑(남색,곤색)",정보없음,없음,없음,사고없음,없음,없음,없음,3회,"['알루미늄휠', '열선시트', '통풍시트', '운전석전동시트', '하이패스', '열선시트(뒷좌석)', '통풍시트(동승석)', '후방감지센서', '사이드&커튼에어백', '운전석에어백', '조수석에어백', '차체자세제어장치', '차선이탈경보장치', '자동긴급제동(AEB)', '전자식파킹브레이크', 'ECM룸밀러', '핸들열선', '레인센서와이퍼']"
19700000,173마9041,21년04월(21년형),"125,701km",가솔린,오토,정보없음,대형,"2,497cc",검정,정보없음,없음,없음,사고없음,없음,없음,있음,1회,"['알루미늄휠', '열선시트', '통풍시트', '핸들 리모컨', '가죽시트', '메모리시트', '하이패스', '후방감지센서', '사이드&커튼에어백', '운전석에어백', '조수석에어백', '후방카메라', 'ABS', 'TCS', '차선이탈경보장치', '타이어 공기압감지', '스마트키', '풀오토에어컨', 'ECM룸밀러', '크루즈컨트롤', '핸들열선', '레인센서와이퍼', '내비게이션', 'AUX', 'USB']"
21000000,236보1931,18년10월(18년형),"66,569km",디젤,오토,정보없음,SUV,"1,995cc",회색,정보없음,없음,없음,사고없음,없음,없음,있음,2회,"['파노라마썬루프', '열선시트', '메모리시트', '어라운드뷰', '전자식파킹브레이크', '내비게이션']"
48500000,203부6985,23년11월(23년형),"7,510km",가솔린,오토,정보없음,SUV,"3,778cc",흰색,정보없음,없음,없음,사고없음,없음,없음,없음,없음,"['열선시트', '통풍시트', '메모리시트', '어라운드뷰', '차체자세제어장치', '차선이탈경보장치', '전자식파킹브레이크', 'HUD', '크루즈컨트롤', '핸들열선', '내비게이션']"
33990000,254두9437,23년11월(23년형),"3,154km",하이브리드(가솔린),오토,정보없음,소형,"1,984cc",검정,정보없음,없음,없음,사고없음,없음,없음,없음,없음,[]
29900000,04수1639,17년03월(17년형),"56,008km",가솔린,오토,정보없음,대형,"3,342cc",회색,정보없음,없음,없음,사고없음,없음,없음,없음,없음,"['제논라이트(HID)', '알루미늄휠', '열선시트', '통풍시트', '핸들 리모컨', '가죽시트', '운전석전동시트', '메모리시트', '하이패스', '열선시트(뒷좌석)', '후방감지센서', '사이드&커튼에어백', '운전석에어백', '조수석에어백', '후방카메라', '어라운드뷰', 'ABS', '차체자세제어장치', '차선이탈경보장치', '타이어 공기압감지', '주차감지센서(전방)', '전방카메라', '스마트키', '풀오토에어컨', '전자식파킹브레이크', 'HUD', 'ECM룸밀러', '크루즈컨트롤', '전동트렁크', '핸들열선', '내비게이션', 'USB']"
7500000,240다1024,20년04월(20년형),"62,532km",LPG,오토,정보없음,경차,998cc,노랑색,정보없음,없음,없음,사고없음,없음,없음,있음,1회,"['파워핸들', '후방감지센서', '사이드&커튼에어백', '운전석에어백', '조수석에어백', '후방카메라', 'ABS', 'TCS', '차체자세제어장치', '타이어 공기압감지', '파워윈도우', 'AUX', 'USB', '내비게이션 (비순정)']"
7990000,40보2398,18년12월(19년형),"43,776km",가솔린,CVT,정보없음,경차,999cc,회색,정보없음,없음,없음,사고없음,없음,없음,없음,1회,"['열선시트', '어라운드뷰', 'ABS', '차체자세제어장치', '차선이탈경보장치', '크루즈컨트롤']"
