가격,연식(년),주행거리(km),배기량(cc),압류_저당,통풍시트(1열/2열),전동식 트렁크,스마트 크루즈 컨트롤,가죽 시트,전방 주차거리 경고,열선시트(1열/2열),후측방 경보 시스템,내비게이션,선루프,후방 모니터,옵션_갯수,차종_EV,차종_RV,차종_SUV,차종_경차,차종_대형,차종_대형차,차종_소형,차종_소형차,차종_스포츠카,차종_승용,차종_승합,차종_승합차,차종_준중형,차종_준중형차,차종_중형,차종_중형차,차종_화물차,연료_LPG,연료_가솔린,연료_기타,연료_디젤,연료_전기,연료_하이브리드,변속기_CVT,변속기_기타,변속기_오토,색상_중분류_갈색,색상_중분류_검정색,색상_중분류_기타,색상_중분류_노랑,색상_중분류_빨강,색상_중분류_초록,색상_중분류_파랑,색상_중분류_회색,색상_중분류_흰색
58900000,2021,103818,1969,0,0,1,1,1,1,1,1,1,1,1,23,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False
17990000,2017,82210,1995,0,1,0,1,0,0,0,0,1,0,0,4,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
27990000,2019,125874,1998,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
11000000,2018,31237,998,0,1,1,1,1,1,1,1,1,1,1,32,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
39000000,2023,27162,1598,0,1,1,1,1,1,1,1,1,1,1,51,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
71500000,2020,79833,2993,0,1,1,1,1,1,1,1,1,1,1,34,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False
21330000,2022,76348,1341,0,1,0,1,0,0,1,0,1,0,0,6,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
12000000,2018,33125,1597,0,0,0,0,0,0,1,0,1,0,0,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
99000000,2024,4485,2993,0,0,0,0,0,0,0,0,1,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
4700000,2023,3030,140,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
19200000,2020,134494,2497,0,1,1,1,1,1,1,1,1,0,1,29,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
17000000,2021,23121,1497,0,1,0,0,0,0,1,0,1,0,0,6,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
19200000,2018,92230,2199,0,1,0,1,1,0,1,1,1,1,1,12,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False
26900000,2023,10771,1999,0,1,1,1,1,1,1,1,1,0,1,43,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
104000000,2022,14557,3995,0,0,0,0,0,0,0,0,1,0,0,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
102000000,2023,5783,2997,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
47300000,2021,27537,1991,0,0,0,1,1,1,1,1,1,0,1,17,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
20900000,2022,41561,1999,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
10500000,2020,132360,1598,0,0,0,1,1,0,1,0,1,0,0,10,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
34800000,2020,69678,225,0,1,1,1,1,1,1,1,1,1,1,34,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True
12000000,2020,26337,1597,1,0,0,1,0,0,0,1,0,0,0,11,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
225000000,2023,19600,3982,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
61000000,2018,47272,2993,0,0,0,0,0,0,0,0,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
52500000,2022,63778,6162,0,1,0,1,1,0,1,1,0,1,1,25,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
41000000,2022,14978,1991,0,0,0,1,0,1,1,1,1,1,0,6,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
44200000,2022,26311,1998,0,0,0,1,0,1,1,1,1,1,1,6,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
15800000,2021,120380,1999,0,0,0,1,1,0,1,1,1,0,0,17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
19900000,2017,68962,1969,0,0,1,1,1,1,1,1,1,1,1,24,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
15900000,2024,9527,998,0,1,0,1,1,0,1,1,1,0,1,17,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
59000000,2021,63104,1969,1,1,0,1,0,0,1,0,1,1,0,10,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
19100000,2018,90961,1998,0,1,0,0,1,1,1,1,0,0,1,17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
37800000,2022,14593,2497,1,1,1,1,1,1,1,1,1,1,1,32,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
14990000,2020,100247,1999,0,0,0,1,1,1,1,1,1,0,1,21,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
53990000,2023,18098,188,0,1,1,1,1,1,1,1,1,1,1,23,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
7100000,2020,63526,999,0,0,0,1,1,0,1,1,1,0,1,22,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
27800000,2022,100971,111,0,1,1,1,1,1,1,1,1,0,1,30,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False
14300000,2020,112005,1999,0,0,0,1,1,0,1,1,1,0,1,21,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
54900000,2021,44288,3778,0,1,0,1,0,0,1,0,1,0,0,9,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
22800000,2018,107177,2359,0,1,1,1,1,1,1,1,1,1,1,30,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False
16300000,2019,111052,2199,0,1,0,1,1,0,1,1,1,0,0,18,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False
124000000,2021,61904,3982,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False
20800000,2021,46794,1580,0,1,0,1,0,0,1,0,1,0,0,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
54300000,2023,15140,1998,0,1,0,1,1,0,1,1,1,1,1,24,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
8100000,2020,60577,998,0,0,0,0,0,0,0,1,1,0,1,13,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
25700000,2022,126119,3470,1,0,0,0,1,0,1,0,0,0,0,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
47800000,2022,70036,3342,0,1,0,1,0,0,1,0,1,1,0,9,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
34000000,2021,52775,2497,0,0,0,0,0,0,0,0,1,1,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
16900000,2020,129443,1998,0,1,0,1,0,0,1,0,1,1,1,4,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
46300000,2023,16165,1998,0,0,0,1,0,0,1,0,1,1,0,6,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
17900000,2022,7967,1497,0,1,0,1,1,1,1,1,1,0,1,26,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
6200000,2019,48434,998,0,0,0,0,0,0,0,1,1,0,1,5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
13200000,2020,81033,1598,0,0,0,1,1,0,1,1,1,0,1,16,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
40500000,2023,5674,1598,0,1,0,1,0,0,1,0,1,0,0,7,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
26900000,2022,16870,1997,0,1,1,1,1,1,1,1,1,1,1,41,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
57900000,2023,6880,2497,0,1,0,1,0,0,1,0,1,0,0,7,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
19500000,2018,84519,1499,1,1,1,1,1,1,1,1,1,1,1,32,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
14300000,2020,17023,1597,0,0,0,1,1,0,1,1,0,0,1,18,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
24500000,2020,35411,2497,0,1,1,1,1,1,1,1,1,0,1,38,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
19400000,2019,71422,2199,0,1,0,1,1,0,1,1,1,1,1,31,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False
18900000,2020,24344,1997,0,1,0,1,1,1,1,1,1,0,1,35,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
53000000,2020,87000,3470,0,1,1,1,1,1,1,1,1,1,1,51,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
46500000,2023,36000,3500,0,1,1,1,1,1,1,1,1,0,1,47,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
