최초등록,주행거리,연료,배기량,외관컬러,내장컬러,차종,승차인원,구동방식,차량번호,연식,변속기,가격,option
2019.10.29,"73,343km",디젤,"2,199cc",세빌 실버,브라운/베이지투톤(베이지시트),승용,5인승,AWD,373부9194,2019년,오토,"39,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열/2열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2020.12.22,"64,563km",가솔린,"3,778cc",비크 블랙,블랙모노톤(블랙시트),승용,4인승,AWD,303너8463,2020년,오토,"57,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열/2열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2020.04.06,"18,762km",가솔린,"3,778cc",로얄 블루,마룬브라운/하바나브라운투톤(마룬브라운시트),승용,5인승,2WD,390노7567,2020년,오토,"52,000,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2020.03.30,"65,390km",가솔린,"3,778cc",로얄 블루,마룬브라운/블루투톤(블루시트),승용,5인승,AWD,390노7531,2020년,오토,"54,200,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열/2열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2020.05.14,"95,744km",가솔린,"3,342cc",비크 블랙,블랙모노톤(블랙시트),승용,5인승,AWD,384서9023,2020년,오토,"57,300,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열/2열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2020.08.09,"54,655km",가솔린,"3,470cc",비크 블랙,블랙모노톤(애쉬 칼라 그라데이션),승용,5인승,AWD,286다8143,2020년,오토,"47,600,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2020.06.25,"77,652km",가솔린,"2,497cc",비크 블랙,블랙모노톤(애쉬 메탈릭 그라데이션),승용,5인승,2WD,183무1453,2020년,오토,"45,800,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열/2열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2020.07.09,"64,634km",가솔린,"2,497cc",세빌 실버,바닐라 베이지(올리브애쉬),승용,5인승,AWD,240부1055,2020년,오토,"45,500,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2021.04.04,"50,123km",가솔린,"3,470cc",카본 메탈,블랙모노톤(애쉬 칼라 그라데이션),승용,5인승,2WD,376수3950,2021년,오토,"47,800,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열/2열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2021.01.06,"45,522km",가솔린,"2,497cc",카본 메탈,블랙모노톤,승용,5인승,AWD,190무2280,2021년,오토,"47,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2021.02.01,"94,147km",가솔린,"3,470cc",카본 메탈,블랙모노톤,승용,5인승,AWD,115나2103,2021년,오토,"42,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
