최초등록,주행거리,연료,배기량,외관컬러,내장컬러,차종,승차인원,구동방식,차량번호,연식,변속기,가격,option
2021.04.13,"30,539km",하이브리드,"1,999cc",미드나잇 블랙 펄,네이비,승용,5인승,2WD,204부1971,2021년,오토,"29,700,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2022.04.04,"38,454km",가솔린,"1,999cc",크리미 화이트 펄,블랙모노톤,승용,5인승,2WD,117라7122,2022년,오토,"25,300,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선 시트 (1열), 통풍시트(1열), 전동 시트 (운전석), 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2022.03.06,"17,758km",가솔린,"1,999cc",미드나잇 블랙 펄,블랙모노톤,승용,5인승,2WD,227루9204,2022년,오토,"22,800,000","하이패스, 열선 스티어링 휠, 열선 시트 (1열), 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤"
2022.03.31,"24,506km",가솔린,"1,999cc",크리미 화이트 펄,네이비,승용,5인승,2WD,204부1945,2022년,오토,"25,700,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동 시트 (운전석), 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2022.02.27,"16,506km",가솔린,"1,999cc",녹턴 그레이 메탈릭,블랙모노톤,승용,5인승,2WD,208다9180,2022년,오토,"26,400,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선 시트 (1열), 통풍시트(1열), 전동 시트 (운전석), 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2021.02.07,"85,983km",하이브리드,"1,999cc",미드나잇 블랙 펄,카멜,승용,5인승,2WD,223더6582,2021년,오토,"24,500,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2020.03.24,"51,971km",가솔린,"1,999cc",녹턴 그레이 메탈릭,블랙모노톤,승용,5인승,2WD,158오9595,2020년,오토,"20,600,000","하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동 시트 (운전석), 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤"
2020.04.05,"39,812km",가솔린,"1,999cc",미드나잇 블랙 펄,블랙모노톤,승용,5인승,2WD,390노7539,2020년,오토,"20,000,000","하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동 시트 (운전석), 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 전방 주차거리 경고"
2020.03.09,"43,312km",가솔린,"1,598cc",미드나잇 블랙 펄,블랙모노톤,승용,5인승,2WD,232루5190,2020년,오토,"22,000,000","하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동 시트 (운전석), 선루프, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2023.03.23,"5,688km",가솔린,"1,999cc",어비스블랙펄,블랙모노톤,승용,5인승,2WD,239루4195,2023년,오토,"26,200,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선 시트 (1열), 통풍시트(1열), 전동 시트 (운전석), 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
